Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Devonte' Graham,20210116,CHO,0,TOR,116,CHO,113,38.42,7,15,0.467,4,9,0.444,2,4,0.5,1,4,5,7,1,0,0,3,20,+2,.597,.600,.600,.267,2.6,11.6,6.9,29.9,1.2,0.0,0.0,18.4,138,118,4.4
Gordon Hayward,20210116,CHO,0,TOR,116,CHO,113,38.15,7,13,0.5379999999999999,1,3,0.33299999999999996,10,10,1.0,0,5,5,3,1,0,1,2,25,0,.718,.577,.231,.769,0.0,14.6,6.9,12.9,1.2,0.0,5.4,20.4,147,117,4.4
Terry Rozier,20210116,CHO,0,TOR,116,CHO,113,38.05,9,19,0.474,6,12,0.5,0,0,,3,6,9,2,1,0,3,3,24,+20,.632,.632,.632,.000,7.9,17.6,12.5,9.5,1.2,0.0,13.6,24.4,111,116,2.2
P.J. Washington,20210116,CHO,0,TOR,116,CHO,113,33.72,6,13,0.462,1,3,0.33299999999999996,1,2,0.5,2,10,12,5,0,2,4,3,14,+19,.504,.500,.231,.154,5.9,33.1,18.8,24.2,0.0,7.7,22.4,22.4,94,111,-1.3
Bismack Biyombo,20210116,CHO,0,TOR,116,CHO,113,33.55,3,7,0.429,0,0,,0,1,0.0,4,7,11,1,2,1,3,3,6,+4,.403,.429,.000,.143,11.9,23.3,17.3,4.2,2.8,3.9,28.7,13.1,80,109,-6.1
Miles Bridges,20210116,CHO,0,TOR,116,CHO,113,25.78,2,7,0.28600000000000003,1,3,0.33299999999999996,5,6,0.833,0,1,1,4,1,1,1,3,10,-23,.519,.357,.429,.857,0.0,4.3,2.0,21.7,1.8,5.0,9.4,17.4,117,115,0.8
LaMelo Ball,20210116,CHO,0,TOR,116,CHO,113,22.98,4,11,0.364,2,6,0.33299999999999996,1,2,0.5,2,3,5,4,0,0,1,3,11,-19,.463,.455,.545,.182,8.7,14.6,11.5,28.2,0.0,0.0,7.8,23.6,108,120,-2.7
Caleb Martin,20210116,CHO,0,TOR,116,CHO,113,5.48,0,2,0.0,0,0,,1,2,0.5,0,0,0,0,0,1,0,0,1,-11,.174,.000,.000,1.000,0.0,0.0,0.0,0.0,0.0,23.7,0.0,22.2,42,109,-11.8
Malik Monk,20210116,CHO,0,TOR,116,CHO,113,3.87,0,0,,0,0,,2,2,1.0,0,0,0,0,0,0,1,0,2,-7,1.136,,,,0.0,0.0,0.0,0.0,0.0,0.0,53.2,20.5,106,123,-8.4
