Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Kenyon Martin Jr.,20210514,HOU,1,HOU,122,LAC,115,34.22,5,12,0.41700000000000004,0,6,0.0,3,4,0.75,1,8,9,1,1,0,2,3,13,-4,.472,.417,.500,.333,3.9,28.1,16.6,3.6,1.4,0.0,12.7,20.0,92,111,-9.1
Kelly Olynyk,20210514,HOU,1,HOU,122,LAC,115,31.32,6,14,0.429,1,4,0.25,7,10,0.7,1,8,9,11,3,0,3,5,20,-1,.543,.464,.286,.714,4.3,30.7,18.2,45.8,4.5,0.0,14.0,29.6,121,104,8.1
Khyri Thomas,20210514,HOU,1,HOU,122,LAC,115,30.02,8,11,0.727,1,1,1.0,0,0,,2,1,3,5,0,3,2,1,17,+6,.773,.773,.091,.000,8.9,4.0,6.3,24.1,0.0,8.3,15.4,18.8,141,111,7.9
D.J. Augustin,20210514,HOU,1,HOU,122,LAC,115,29.72,5,12,0.41700000000000004,2,7,0.28600000000000003,1,2,0.5,1,3,4,5,0,0,1,1,13,-2,.505,.500,.583,.167,4.5,12.1,8.5,21.3,0.0,0.0,7.2,20.3,114,117,-4.6
Jae'Sean Tate,20210514,HOU,1,HOU,122,LAC,115,29.18,7,10,0.7,3,5,0.6,3,4,0.75,1,2,3,1,0,1,5,4,20,-4,.850,.850,.500,.400,4.6,8.2,6.5,4.8,0.0,2.8,29.8,24.9,109,115,-1.9
Armoni Brooks,20210514,HOU,1,HOU,122,LAC,115,35.42,6,11,0.545,3,7,0.429,0,0,,0,3,3,3,0,0,0,2,15,+12,.682,.682,.636,.000,0.0,10.2,5.3,10.7,0.0,0.0,0.0,13.5,142,117,0.0
Anthony Lamb,20210514,HOU,1,HOU,122,LAC,115,30.15,6,10,0.6,3,5,0.6,2,2,1.0,2,3,5,3,0,0,1,0,17,+19,.781,.750,.500,.200,8.8,11.9,10.5,13.1,0.0,0.0,8.4,17.1,151,117,5.8
Cameron Oliver,20210514,HOU,1,HOU,122,LAC,115,16.68,1,4,0.25,1,2,0.5,0,0,,0,4,4,1,0,0,1,4,3,+8,.375,.375,.500,.000,0.0,28.8,15.1,6.7,0.0,0.0,20.0,13.0,72,114,-12.4
Cameron Reynolds,20210514,HOU,1,HOU,122,LAC,115,3.3,2,2,1.0,0,0,,0,0,,0,1,1,0,0,0,0,0,4,+1,1.000,1.000,.000,.000,0.0,36.4,19.1,0.0,0.0,0.0,0.0,26.3,200,113,16.8
