Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Patrick Williams,20210222,CHI,0,CHI,120,HOU,100,34.2,6,8,0.75,2,4,0.5,0,0,,1,6,7,1,1,1,1,2,14,+28,.875,.875,.500,.000,3.3,14.5,9.7,3.5,1.4,2.5,11.1,11.9,153,100,4.4
Zach LaVine,20210222,CHI,0,CHI,120,HOU,100,31.8,7,14,0.5,4,6,0.667,3,3,1.0,0,5,5,6,0,0,2,3,21,+36,.685,.643,.429,.214,0.0,13.0,7.5,23.6,0.0,0.0,11.5,24.6,132,105,3.6
Coby White,20210222,CHI,0,CHI,120,HOU,100,30.8,10,16,0.625,4,7,0.5710000000000001,0,0,,1,9,10,2,0,1,0,4,24,+2,.750,.750,.438,.000,3.6,24.2,15.4,9.3,0.0,2.8,0.0,23.4,152,99,8.3
Wendell Carter Jr.,20210222,CHI,0,CHI,120,HOU,100,28.82,8,14,0.5710000000000001,0,0,,2,2,1.0,4,9,13,1,2,3,3,4,18,+5,.605,.571,.000,.143,15.5,25.8,21.4,4.7,3.4,8.9,16.8,28.0,112,86,1.0
Garrett Temple,20210222,CHI,0,CHI,120,HOU,100,28.58,3,7,0.429,2,4,0.5,1,2,0.5,1,3,4,4,0,0,0,0,9,+39,.571,.571,.571,.286,3.9,8.7,6.7,15.3,0.0,0.0,0.0,12.4,139,107,1.4
Tomáš Satoranský,20210222,CHI,0,CHI,120,HOU,100,29.38,4,9,0.444,2,4,0.5,0,0,,0,0,0,4,1,0,2,0,10,-2,.556,.556,.444,.000,0.0,0.0,0.0,15.4,1.6,0.0,18.2,16.9,104,107,-3.9
Thaddeus Young,20210222,CHI,0,CHI,120,HOU,100,20.12,8,9,0.889,0,0,,1,3,0.33299999999999996,1,7,8,5,0,0,2,1,17,+15,.824,.889,.000,.333,5.5,28.8,18.9,39.9,0.0,0.0,16.2,27.6,146,100,12.6
Denzel Valentine,20210222,CHI,0,CHI,120,HOU,100,18.7,2,9,0.222,1,7,0.14300000000000002,0,0,,0,6,6,1,1,0,0,2,5,-16,.278,.278,.778,.000,0.0,26.6,15.2,5.9,2.6,0.0,0.0,21.7,66,94,-11.3
Ryan Arcidiacono,20210222,CHI,0,CHI,120,HOU,100,15.05,1,5,0.2,0,4,0.0,0,0,,0,2,2,0,0,0,1,1,2,-4,.200,.200,.800,.000,0.0,11.0,6.3,0.0,0.0,0.0,16.7,18.0,35,106,-20.4
Daniel Gafford,20210222,CHI,0,CHI,120,HOU,100,2.55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,110,-7.6
