Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Bradley Beal,20210425,WAS,1,WAS,119,CLE,110,38.58,13,24,0.542,2,4,0.5,5,6,0.833,3,3,6,3,1,0,2,4,33,+7,.619,.583,.167,.250,10.1,10.4,10.2,13.9,1.3,0.0,7.0,32.3,127,119,2.1
Russell Westbrook,20210425,WAS,1,WAS,119,CLE,110,35.72,5,13,0.385,0,2,0.0,4,7,0.5710000000000001,0,5,5,11,2,0,4,2,14,+3,.435,.385,.154,.538,0.0,18.7,9.2,40.7,2.8,0.0,19.9,24.4,98,114,-3.0
Raul Neto,20210425,WAS,1,WAS,119,CLE,110,28.3,4,10,0.4,2,3,0.667,4,4,1.0,0,1,1,1,1,0,0,0,14,-12,.595,.500,.300,.400,0.0,4.7,2.3,4.7,1.8,0.0,0.0,18.1,133,120,-1.6
Anthony Gill,20210425,WAS,1,WAS,119,CLE,110,13.98,2,4,0.5,1,3,0.33299999999999996,0,0,,0,1,1,1,0,0,1,3,5,-16,.625,.625,.750,.000,0.0,9.5,4.7,9.5,0.0,0.0,20.0,15.5,104,122,-8.4
Alex Len,20210425,WAS,1,WAS,119,CLE,110,10.33,1,1,1.0,0,0,,0,0,,0,2,2,1,0,0,1,2,2,-15,1.000,1.000,.000,.000,0.0,25.8,12.7,12.1,0.0,0.0,50.0,8.4,100,119,-7.0
Dāvis Bertāns,20210425,WAS,1,WAS,119,CLE,110,34.2,3,12,0.25,3,10,0.3,0,0,,0,4,4,1,0,0,0,0,9,+25,.375,.375,.833,.000,0.0,15.6,7.7,3.6,0.0,0.0,0.0,15.3,88,121,-9.5
Daniel Gafford,20210425,WAS,1,WAS,119,CLE,110,26.75,5,7,0.7140000000000001,0,0,,2,3,0.667,1,5,6,2,4,4,0,2,12,+14,.721,.714,.000,.429,4.8,24.9,14.7,10.5,7.5,14.1,0.0,13.5,158,94,13.4
Garrison Mathews,20210425,WAS,1,WAS,119,CLE,110,22.77,2,5,0.4,2,5,0.4,2,2,1.0,2,1,3,0,2,0,0,5,8,+21,.680,.600,1.000,.400,11.4,5.9,8.7,0.0,4.4,0.0,0.0,11.2,156,113,0.1
Ish Smith,20210425,WAS,1,WAS,119,CLE,110,18.45,3,8,0.375,2,4,0.5,0,0,,2,1,3,4,1,2,1,3,8,+8,.500,.500,.500,.000,14.1,7.2,10.7,29.6,2.7,10.2,11.1,21.2,120,111,7.0
Robin Lopez,20210425,WAS,1,WAS,119,CLE,110,10.92,5,5,1.0,0,0,,4,4,1.0,2,3,5,1,0,0,1,0,14,+10,1.036,1.000,.000,.800,23.8,36.6,30.1,20.9,0.0,0.0,12.9,30.9,183,117,23.9
