Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Dwayne Bacon,20210507,ORL,0,CHO,122,ORL,112,33.97,9,19,0.474,2,7,0.28600000000000003,8,10,0.8,0,4,4,2,0,0,0,2,28,-12,.598,.526,.368,.526,0.0,12.8,5.8,10.0,0.0,0.0,0.0,28.4,131,126,1.0
Mo Bamba,20210507,ORL,0,CHO,122,ORL,112,33.5,4,11,0.364,0,1,0.0,1,2,0.5,7,11,18,1,1,4,0,3,9,-7,.379,.364,.091,.182,18.6,35.8,26.3,4.1,1.4,10.2,0.0,14.6,111,111,-3.3
Gary Harris,20210507,ORL,0,CHO,122,ORL,112,30.18,5,11,0.455,2,3,0.667,0,0,,2,1,3,1,1,1,1,2,12,-7,.545,.545,.273,.000,5.9,3.6,4.9,4.8,1.6,2.8,8.3,16.4,111,123,-3.3
Cole Anthony,20210507,ORL,0,CHO,122,ORL,112,29.32,6,14,0.429,2,5,0.4,6,6,1.0,2,3,5,1,1,1,2,5,20,-5,.601,.500,.357,.429,6.1,11.2,8.4,5.3,1.6,2.9,10.7,26.2,118,121,-1.1
Moritz Wagner,20210507,ORL,0,CHO,122,ORL,112,23.43,3,8,0.375,0,3,0.0,0,0,,1,2,3,3,1,1,1,5,6,-11,.375,.375,.375,.000,3.8,9.3,6.3,17.6,2.0,3.7,11.1,15.8,89,120,-8.0
R.J. Hampton,20210507,ORL,0,CHO,122,ORL,112,29.7,7,15,0.467,0,3,0.0,2,4,0.5,0,5,5,3,0,0,0,3,16,-6,.477,.467,.200,.267,0.0,18.4,8.2,16.3,0.0,0.0,0.0,23.3,108,125,-5.9
Ignas Brazdeikis,20210507,ORL,0,CHO,122,ORL,112,24.13,3,11,0.273,1,2,0.5,1,2,0.5,2,5,7,3,0,0,2,1,8,+5,.337,.318,.182,.182,7.4,22.6,14.2,17.0,0.0,0.0,14.4,23.7,79,124,-11.1
Chasson Randle,20210507,ORL,0,CHO,122,ORL,112,21.55,3,8,0.375,2,6,0.33299999999999996,3,4,0.75,0,2,2,4,0,0,0,1,11,-2,.564,.500,.750,.500,0.0,10.1,4.5,26.0,0.0,0.0,0.0,18.7,134,127,0.8
Sindarius Thornwell,20210507,ORL,0,CHO,122,ORL,112,14.22,1,1,1.0,0,0,,0,0,,0,0,0,1,2,0,0,2,2,-5,1.000,1.000,.000,.000,0.0,0.0,0.0,9.0,6.7,0.0,0.0,2.9,205,115,-0.3
