Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
DeMar DeRozan,20191115,SAS,0,ORL,111,SAS,109,36.53,9,15,0.6,0,0,,3,3,1.0,0,2,2,5,1,0,2,6,21,-15,.643,.600,.000,.200,0.0,5.6,3.0,19.8,1.4,0.0,10.9,23.1,124,123,-2.2
LaMarcus Aldridge,20191115,SAS,0,ORL,111,SAS,109,31.03,5,13,0.385,2,3,0.667,1,1,1.0,0,6,6,2,0,5,0,4,13,-9,.484,.462,.231,.077,0.0,19.7,10.4,8.3,0.0,13.3,0.0,19.9,106,113,1.2
Bryn Forbes,20191115,SAS,0,ORL,111,SAS,109,29.33,4,13,0.308,4,7,0.5710000000000001,0,0,,0,1,1,1,1,0,0,0,12,-15,.462,.462,.538,.000,0.0,3.5,1.8,4.3,1.7,0.0,0.0,20.4,97,124,-4.0
Trey Lyles,20191115,SAS,0,ORL,111,SAS,109,27.37,3,7,0.429,2,4,0.5,0,0,,5,7,12,0,0,0,2,3,8,-11,.571,.571,.571,.000,20.9,26.1,23.6,0.0,0.0,0.0,22.2,15.1,111,118,-6.3
Dejounte Murray,20191115,SAS,0,ORL,111,SAS,109,20.77,5,6,0.833,0,1,0.0,0,0,,1,4,5,6,1,0,2,4,10,-7,.833,.833,.167,.000,5.5,19.7,13.0,41.5,2.4,0.0,25.0,17.7,143,115,6.8
Derrick White,20191115,SAS,0,ORL,111,SAS,109,21.58,1,4,0.25,1,2,0.5,0,0,,0,1,1,4,0,2,2,3,3,+6,.375,.375,.500,.000,0.0,4.7,2.5,20.8,0.0,7.7,33.3,12.8,80,122,-5.6
Rudy Gay,20191115,SAS,0,ORL,111,SAS,109,20.63,6,12,0.5,2,5,0.4,0,0,,1,3,4,1,0,0,2,2,14,+9,.583,.583,.417,.000,5.5,14.8,10.5,7.5,0.0,0.0,14.3,31.2,102,123,-4.6
Patty Mills,20191115,SAS,0,ORL,111,SAS,109,19.38,6,9,0.667,1,3,0.33299999999999996,0,1,0.0,0,1,1,1,3,0,0,1,13,+13,.689,.722,.333,.111,0.0,5.3,2.8,8.2,7.8,0.0,0.0,22.4,136,109,11.4
Jakob Poeltl,20191115,SAS,0,ORL,111,SAS,109,16.92,4,4,1.0,0,0,,1,2,0.5,1,4,5,2,2,1,1,0,9,+10,.922,1.000,.000,.500,6.8,24.1,15.9,16.9,6.0,4.9,17.0,16.0,157,103,16.1
Marco Belinelli,20191115,SAS,0,ORL,111,SAS,109,16.45,2,6,0.33299999999999996,1,1,1.0,1,3,0.33299999999999996,0,4,4,1,0,0,0,2,6,+9,.410,.417,.167,.500,0.0,24.8,13.1,7.5,0.0,0.0,0.0,20.5,91,118,-9.3
