Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Kelly Oubre Jr.,20191230,PHO,0,PHO,122,POR,116,39.98,11,21,0.524,7,10,0.7,0,0,,0,5,5,2,3,1,0,0,29,+17,.690,.690,.476,.000,0.0,13.6,7.0,7.8,3.7,1.9,0.0,22.8,136,113,11.6
Devin Booker,20191230,PHO,0,PHO,122,POR,116,37.93,9,19,0.474,0,0,,15,15,1.0,0,6,6,7,0,0,2,4,33,+3,.645,.474,.000,.789,0.0,17.3,8.8,27.2,0.0,0.0,7.2,31.6,136,122,3.2
Ricky Rubio,20191230,PHO,0,PHO,122,POR,116,34.63,7,13,0.5379999999999999,1,2,0.5,3,3,1.0,0,5,5,13,1,0,2,3,18,+21,.628,.577,.154,.231,0.0,15.7,8.1,52.5,1.4,0.0,12.3,20.4,137,119,4.8
Aron Baynes,20191230,PHO,0,PHO,122,POR,116,27.47,5,11,0.455,2,4,0.5,0,0,,4,5,9,2,1,0,0,3,12,+9,.545,.545,.364,.000,16.6,19.9,18.3,9.9,1.8,0.0,0.0,17.4,133,117,0.9
Dario Šarić,20191230,PHO,0,PHO,122,POR,116,16.87,1,5,0.2,0,2,0.0,0,1,0.0,1,1,2,0,0,0,1,0,2,-12,.184,.200,.400,.200,6.8,6.5,6.6,0.0,0.0,0.0,15.5,16.6,46,125,-18.6
Mikal Bridges,20191230,PHO,0,PHO,122,POR,116,30.98,5,10,0.5,0,1,0.0,3,3,1.0,1,2,3,3,1,1,1,2,13,+18,.574,.500,.100,.300,3.7,7.0,5.4,12.8,1.6,2.5,8.1,17.2,121,119,-0.4
Deandre Ayton,20191230,PHO,0,PHO,122,POR,116,20.12,3,9,0.33299999999999996,0,1,0.0,0,0,,4,8,12,0,0,0,2,3,6,-1,.333,.333,.111,.000,22.7,43.4,33.3,0.0,0.0,0.0,18.2,23.7,79,115,-16.9
Cameron Johnson,20191230,PHO,0,PHO,122,POR,116,18.02,3,3,1.0,3,3,1.0,0,0,,0,1,1,0,0,0,1,1,9,-1,1.500,1.500,1.000,.000,0.0,6.1,3.1,0.0,0.0,0.0,25.0,9.6,160,125,5.9
Jevon Carter,20191230,PHO,0,PHO,122,POR,116,9.12,0,1,0.0,0,0,,0,0,,0,1,1,0,0,1,0,1,0,-14,.000,.000,.000,.000,0.0,12.0,6.1,0.0,0.0,8.5,0.0,4.8,0,117,-8.1
Elie Okobo,20191230,PHO,0,PHO,122,POR,116,4.88,0,0,,0,0,,0,0,,0,0,0,2,0,1,0,0,0,-10,,,,,0.0,0.0,0.0,44.7,0.0,15.9,,0.0,230,114,16.6
