Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Khris Middleton,20191024,MIL,0,MIL,117,HOU,111,33.33,4,16,0.25,3,9,0.33299999999999996,0,0,,1,7,8,3,1,1,2,2,11,+2,.344,.344,.563,.000,2.7,17.7,10.5,10.7,1.3,3.4,11.1,22.0,70,102,-6.8
Wesley Matthews,20191024,MIL,0,MIL,117,HOU,111,30.38,6,12,0.5,2,8,0.25,0,0,,0,4,4,1,2,1,1,0,14,+4,.583,.583,.667,.000,0.0,11.1,5.7,4.3,2.9,3.8,7.7,17.4,100,100,2.7
Giannis Antetokounmpo,20191024,MIL,0,MIL,117,HOU,111,28.17,11,17,0.647,2,5,0.4,6,11,0.545,0,13,13,11,1,1,3,6,30,+8,.687,.706,.294,.647,0.0,38.9,20.1,68.8,1.6,4.1,12.1,35.9,131,93,23.1
Brook Lopez,20191024,MIL,0,MIL,117,HOU,111,26.88,4,9,0.444,1,3,0.33299999999999996,2,2,1.0,0,2,2,3,0,5,0,2,11,+5,.557,.500,.333,.222,0.0,6.3,3.2,13.8,0.0,21.3,0.0,15.0,120,99,6.5
Eric Bledsoe,20191024,MIL,0,MIL,117,HOU,111,16.08,4,12,0.33299999999999996,2,4,0.5,1,1,1.0,0,1,1,2,0,0,1,3,11,-6,.442,.417,.333,.083,0.0,5.2,2.7,17.5,0.0,0.0,7.4,34.0,85,110,-7.7
George Hill,20191024,MIL,0,MIL,117,HOU,111,30.78,3,7,0.429,2,4,0.5,0,0,,0,0,0,7,2,0,0,2,8,+16,.571,.571,.571,.000,0.0,0.0,0.0,26.4,2.8,0.0,0.0,9.3,138,106,2.8
Ersan İlyasova,20191024,MIL,0,MIL,117,HOU,111,20.07,6,8,0.75,1,2,0.5,0,1,0.0,4,7,11,0,0,1,2,5,13,+2,.770,.813,.250,.125,18.1,29.4,23.9,0.0,0.0,5.7,19.2,21.2,122,99,1.5
Pat Connaughton,20191024,MIL,0,MIL,117,HOU,111,16.8,4,8,0.5,2,5,0.4,0,0,,0,4,4,2,0,1,0,1,10,-6,.625,.625,.625,.000,0.0,20.1,10.4,16.5,0.0,6.8,0.0,19.4,123,102,7.8
Robin Lopez,20191024,MIL,0,MIL,117,HOU,111,16.58,1,3,0.33299999999999996,0,2,0.0,0,3,0.0,0,2,2,1,0,0,1,3,2,-4,.231,.333,.667,1.000,0.0,10.2,5.3,6.7,0.0,0.0,18.8,13.1,46,109,-14.1
Kyle Korver,20191024,MIL,0,MIL,117,HOU,111,15.23,2,4,0.5,1,3,0.33299999999999996,0,0,,1,5,6,1,1,0,1,1,5,+8,.625,.625,.750,.000,5.9,27.6,17.2,7.9,2.9,0.0,20.0,13.4,106,96,1.4
Sterling Brown,20191024,MIL,0,MIL,117,HOU,111,5.68,1,3,0.33299999999999996,0,1,0.0,0,0,,0,2,2,0,0,0,0,2,2,+1,.333,.333,.333,.000,0.0,29.6,15.4,0.0,0.0,0.0,0.0,21.5,64,101,-16.0
