Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
LaMarcus Aldridge,20191123,SAS,0,SAS,111,NYK,104,34.0,8,15,0.5329999999999999,2,2,1.0,5,7,0.7140000000000001,2,4,6,3,3,0,3,0,23,+5,.636,.600,.133,.467,7.8,11.8,10.1,14.8,4.3,0.0,14.2,27.2,118,102,5.3
DeMar DeRozan,20191123,SAS,0,SAS,111,NYK,104,31.23,8,14,0.5710000000000001,0,0,,5,5,1.0,1,8,9,4,0,1,4,2,21,+3,.648,.571,.000,.357,4.3,25.6,16.5,22.2,0.0,2.9,19.8,28.4,114,105,-0.5
Derrick White,20191123,SAS,0,SAS,111,NYK,104,25.28,2,6,0.33299999999999996,0,2,0.0,4,6,0.667,1,3,4,5,1,0,6,2,8,-9,.463,.333,.333,1.000,5.3,11.9,9.0,26.2,1.9,0.0,41.0,25.4,77,107,-10.6
Jakob Poeltl,20191123,SAS,0,SAS,111,NYK,104,23.88,5,5,1.0,0,0,,1,1,1.0,2,8,10,1,0,1,1,1,11,+6,1.011,1.000,.000,.200,11.2,33.5,23.9,6.7,0.0,3.8,15.5,11.8,170,102,7.0
Bryn Forbes,20191123,SAS,0,SAS,111,NYK,104,20.1,0,4,0.0,0,3,0.0,0,0,,1,2,3,4,0,0,0,5,0,+7,.000,.000,.750,.000,6.6,10.0,8.5,23.9,0.0,0.0,0.0,8.7,79,111,-11.6
Patty Mills,20191123,SAS,0,SAS,111,NYK,104,28.5,6,8,0.75,5,5,1.0,0,0,,0,1,1,2,1,1,1,0,17,+11,1.063,1.063,.625,.000,0.0,3.5,2.0,11.3,1.7,3.2,11.1,13.9,171,108,13.5
Rudy Gay,20191123,SAS,0,SAS,111,NYK,104,23.68,3,9,0.33299999999999996,0,2,0.0,1,2,0.5,0,4,4,2,1,0,5,2,7,0,.354,.333,.222,.222,0.0,16.9,9.7,12.0,2.1,0.0,33.6,27.6,56,105,-17.0
Marco Belinelli,20191123,SAS,0,SAS,111,NYK,104,17.28,2,5,0.4,2,4,0.5,2,3,0.667,0,1,1,2,1,0,1,0,8,0,.633,.600,.800,.600,0.0,5.8,3.3,16.1,2.8,0.0,13.7,18.6,121,107,3.8
Trey Lyles,20191123,SAS,0,SAS,111,NYK,104,15.28,4,5,0.8,3,4,0.75,1,2,0.5,1,1,2,0,0,0,0,1,12,-2,1.020,1.100,.800,.400,8.7,6.5,7.5,0.0,0.0,0.0,0.0,16.9,186,113,13.2
DeMarre Carroll,20191123,SAS,0,SAS,111,NYK,104,13.4,1,2,0.5,0,1,0.0,0,0,,1,6,7,2,0,0,1,4,2,+14,.500,.500,.500,.000,10.0,44.8,29.9,19.7,0.0,0.0,33.3,9.8,107,100,-3.6
Lonnie Walker IV,20191123,SAS,0,SAS,111,NYK,104,7.35,1,2,0.5,0,0,,0,2,0.0,0,0,0,1,0,0,0,0,2,0,.347,.500,.000,1.000,0.0,0.0,0.0,19.5,0.0,0.0,0.0,17.2,86,115,-7.6
