Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Russell Westbrook,20200124,HOU,0,HOU,131,MIN,124,37.73,16,27,0.593,0,0,,13,13,1.0,0,6,6,10,1,0,3,2,45,+3,.688,.593,.000,.481,0.0,17.8,8.9,47.7,1.2,0.0,8.4,39.3,136,118,10.2
P.J. Tucker,20200124,HOU,0,HOU,131,MIN,124,36.03,0,2,0.0,0,2,0.0,2,2,1.0,0,3,3,5,4,0,0,5,2,+1,.347,.000,1.000,1.000,0.0,9.3,4.6,14.2,4.9,0.0,0.0,3.3,129,112,0.7
James Harden,20200124,HOU,0,HOU,131,MIN,124,34.52,3,13,0.231,0,6,0.0,6,6,1.0,0,4,4,5,0,3,3,4,12,-7,.384,.231,.462,.462,0.0,12.9,6.5,16.2,0.0,6.3,16.1,22.4,80,118,-10.6
Clint Capela,20200124,HOU,0,HOU,131,MIN,124,33.97,9,12,0.75,0,0,,0,3,0.0,4,5,9,0,0,5,1,1,18,-4,.676,.750,.000,.250,13.1,16.4,14.8,0.0,0.0,10.7,7.0,17.5,131,114,0.9
Ben McLemore,20200124,HOU,0,HOU,131,MIN,124,16.32,1,5,0.2,1,4,0.25,0,0,,0,1,1,0,2,0,1,0,3,+4,.300,.300,.800,.000,0.0,6.8,3.4,0.0,5.5,0.0,16.7,15.3,49,112,-8.6
Eric Gordon,20200124,HOU,0,HOU,131,MIN,124,35.73,8,19,0.42100000000000004,6,13,0.462,5,7,0.7140000000000001,0,5,5,3,0,0,1,3,27,+18,.611,.579,.684,.368,0.0,15.6,7.8,11.1,0.0,0.0,4.3,26.8,119,122,-1.0
Danuel House Jr.,20200124,HOU,0,HOU,131,MIN,124,26.6,3,5,0.6,2,4,0.5,0,0,,1,5,6,0,2,1,2,1,8,+18,.800,.800,.800,.000,4.2,21.0,12.6,0.0,3.3,2.7,28.6,10.9,108,111,0.8
Austin Rivers,20200124,HOU,0,HOU,131,MIN,124,19.08,7,8,0.875,2,3,0.667,0,0,,0,1,1,1,2,0,0,2,16,+2,1.000,1.000,.375,.000,0.0,5.8,2.9,8.6,4.7,0.0,0.0,17.4,193,114,14.3
