Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Sekou Doumbouya,20200118,DET,0,DET,136,ATL,103,27.58,1,8,0.125,1,4,0.25,1,2,0.5,1,3,4,0,0,0,0,1,4,+23,.225,.188,.500,.250,5.3,13.1,9.5,0.0,0.0,0.0,0.0,13.6,67,109,-15.0
Andre Drummond,20200118,DET,0,DET,136,ATL,103,26.98,7,15,0.467,0,0,,2,4,0.5,7,10,17,3,5,1,3,4,16,+22,.477,.467,.000,.267,37.7,44.5,41.4,13.8,8.7,3.0,15.2,30.8,113,80,-0.4
Derrick Rose,20200118,DET,0,DET,136,ATL,103,26.32,12,17,0.706,1,3,0.33299999999999996,2,2,1.0,0,2,2,9,1,0,1,1,27,+24,.755,.735,.176,.118,0.0,9.1,5.0,56.4,1.8,0.0,5.3,30.2,163,106,12.2
Bruce Brown,20200118,DET,0,DET,136,ATL,103,20.57,1,3,0.33299999999999996,0,1,0.0,3,4,0.75,0,1,1,1,1,0,2,3,5,+20,.525,.333,.333,1.333,0.0,5.8,3.2,4.8,2.3,0.0,29.6,13.8,88,106,-11.2
Tony Snell,20200118,DET,0,DET,136,ATL,103,19.15,3,3,1.0,1,1,1.0,1,1,1.0,0,1,1,0,1,3,0,0,8,+22,1.163,1.167,.333,.333,0.0,6.3,3.4,0.0,2.5,12.7,0.0,7.6,236,97,13.4
Svi Mykhailiuk,20200118,DET,0,DET,136,ATL,103,28.85,9,11,0.818,5,7,0.7140000000000001,2,2,1.0,0,2,2,3,1,1,2,3,25,+11,1.052,1.045,.636,.182,0.0,8.3,4.6,13.9,1.6,2.8,14.4,20.3,172,105,13.2
Langston Galloway,20200118,DET,0,DET,136,ATL,103,27.43,5,8,0.625,2,4,0.5,2,2,1.0,1,2,3,4,1,0,0,1,14,+13,.788,.750,.500,.250,5.3,8.7,7.2,16.6,1.7,0.0,0.0,13.6,180,107,6.4
Tim Frazier,20200118,DET,0,DET,136,ATL,103,21.68,1,4,0.25,0,3,0.0,0,0,,1,1,2,7,0,0,6,2,2,+9,.250,.250,.750,.000,6.7,5.5,6.1,31.8,0.0,0.0,60.0,19.4,69,111,-18.2
Markieff Morris,20200118,DET,0,DET,136,ATL,103,20.42,7,10,0.7,3,5,0.6,5,6,0.833,0,1,1,2,1,0,1,2,22,+10,.870,.850,.500,.600,0.0,5.9,3.2,13.6,2.3,0.0,7.3,28.1,165,106,11.8
Christian Wood,20200118,DET,0,DET,136,ATL,103,16.1,4,6,0.667,1,3,0.33299999999999996,1,2,0.5,1,6,7,1,1,3,2,0,10,+14,.727,.750,.500,.333,9.0,44.7,28.6,7.6,2.9,15.2,22.5,23.2,116,85,7.9
Thon Maker,20200118,DET,0,DET,136,ATL,103,4.92,1,1,1.0,1,1,1.0,0,0,,0,1,1,1,0,0,0,1,3,-3,1.500,1.500,1.000,.000,0.0,24.4,13.4,23.7,0.0,0.0,0.0,8.6,274,106,19.0
