Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Jerami Grant,20200124,DEN,0,DEN,113,NOP,106,37.28,5,14,0.35700000000000004,0,0,,4,4,1.0,6,3,9,5,1,1,2,2,14,+10,.444,.357,.000,.286,13.6,8.8,11.5,19.2,1.3,2.3,11.3,18.2,115,114,-1.8
Nikola Jokić,20200124,DEN,0,DEN,113,NOP,106,35.48,9,20,0.45,1,6,0.16699999999999998,8,8,1.0,7,5,12,7,4,1,2,3,27,+7,.574,.475,.300,.400,16.6,15.4,16.1,34.0,5.6,2.5,7.8,27.4,138,103,16.0
Will Barton,20200124,DEN,0,DEN,113,NOP,106,34.97,4,14,0.28600000000000003,2,6,0.33299999999999996,3,3,1.0,2,3,5,1,2,1,1,0,13,+4,.424,.357,.429,.214,4.8,9.4,6.8,4.0,2.8,2.5,6.1,17.8,106,112,-3.5
Torrey Craig,20200124,DEN,0,DEN,113,NOP,106,34.85,6,9,0.667,3,6,0.5,0,0,,3,7,10,2,0,1,0,4,15,+3,.833,.833,.667,.000,7.2,21.9,13.6,8.7,0.0,2.5,0.0,9.9,183,113,4.6
Gary Harris,20200124,DEN,0,DEN,113,NOP,106,23.75,3,12,0.25,0,4,0.0,0,0,,1,4,5,1,0,1,1,1,6,+4,.250,.250,.333,.000,3.5,18.4,10.0,6.0,0.0,3.7,7.7,20.9,67,114,-15.4
Michael Porter Jr.,20200124,DEN,0,DEN,113,NOP,106,24.1,5,15,0.33299999999999996,3,7,0.429,2,2,1.0,3,7,10,1,1,0,1,2,15,+7,.472,.433,.467,.133,10.5,31.7,19.7,6.6,2.1,0.0,5.9,26.7,114,107,-0.5
Malik Beasley,20200124,DEN,0,DEN,113,NOP,106,17.88,3,8,0.375,1,4,0.25,3,3,1.0,1,1,2,3,3,1,1,1,10,+1,.536,.438,.500,.375,4.7,6.1,5.3,25.2,8.3,4.9,9.7,22.0,126,99,12.6
Monte Morris,20200124,DEN,0,DEN,113,NOP,106,14.03,4,8,0.5,2,5,0.4,0,0,,0,0,0,4,0,0,1,3,10,+4,.625,.625,.625,.000,0.0,0.0,0.0,52.0,0.0,0.0,11.1,24.5,134,120,3.1
PJ Dozier,20200124,DEN,0,DEN,113,NOP,106,7.95,1,2,0.5,1,1,1.0,0,0,,0,0,0,1,1,0,1,2,3,0,.750,.750,.500,.000,0.0,0.0,0.0,17.8,6.2,0.0,33.3,14.4,105,106,-0.7
Juancho Hernangómez,20200124,DEN,0,DEN,113,NOP,106,4.32,0,1,0.0,0,1,0.0,0,0,,0,1,1,1,1,0,1,1,0,-2,.000,.000,1.000,.000,0.0,25.3,11.0,27.8,11.5,0.0,50.0,17.7,27,87,-8.9
Jarred Vanderbilt,20200124,DEN,0,DEN,113,NOP,106,4.3,0,2,0.0,0,0,,0,0,,1,0,1,0,1,0,0,0,0,-2,.000,.000,.000,.000,19.6,0.0,11.1,0.0,11.5,0.0,0.0,17.7,33,97,-10.8
Vlatko Čančar,20200124,DEN,0,DEN,113,NOP,106,1.08,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,0,-1,.000,.000,1.000,.000,0.0,100.0,43.9,0.0,0.0,0.0,0.0,35.2,0,92,-36.3
