Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 22_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G
21.0,Los Angeles Clippers,29.4,31.0,28.0,30,30,0.0,-0.65,-0.65,113.3,113.3,0.0,97.4,0.273,0.39,0.5770000000000001,,0.541,12.8,22.9,0.21100000000000002,,0.539,11.8,77.2,0.196,,Crypto.com Arena,464297,17196
22.0,Chicago Bulls,27.6,26.0,31.0,28,29,-0.02,0.31,0.29,112.6,112.6,0.0,99.7,0.257,0.32899999999999996,0.586,,0.547,12.6,20.0,0.209,,0.542,13.1,78.1,0.203,,United Center,567573,20270
23.0,Washington Wizards,26.4,26.0,30.0,28,28,-0.29,0.15,-0.14,114.4,114.7,-0.3,98.8,0.27,0.366,0.585,,0.5489999999999999,12.7,22.6,0.212,,0.532,10.9,76.4,0.2,,Capital One Arena,446180,17161
24.0,Los Angeles Lakers,28.5,26.0,32.0,26,32,-1.48,-0.05,-1.54,113.5,114.9,-1.4,101.8,0.287,0.344,0.578,,0.539,12.2,21.9,0.22399999999999998,,0.54,10.9,76.1,0.179,,Crypto.com Arena,498447,18461
25.0,Orlando Magic,23.2,24.0,34.0,24,34,-2.64,0.28,-2.36,111.6,114.3,-2.7,98.8,0.299,0.36,0.5760000000000001,,0.534,13.6,23.5,0.23600000000000002,,0.547,12.9,77.1,0.209,,Amway Center,511793,17648
26.0,Indiana Pacers,24.4,25.0,34.0,25,34,-2.75,0.46,-2.28,113.1,115.9,-2.8,101.0,0.262,0.425,0.573,,0.535,13.1,23.2,0.20800000000000002,,0.547,13.6,72.1,0.233,,Gainbridge Fieldhouse,477414,15400
27.0,Charlotte Hornets,25.7,16.0,43.0,18,41,-6.69,0.54,-6.16,110.0,116.5,-6.5,101.1,0.257,0.36,0.5479999999999999,,0.514,11.8,24.8,0.192,,0.5539999999999999,13.0,75.1,0.217,,Spectrum Center,449835,17301
28.0,Detroit Pistons,24.3,15.0,43.0,17,41,-7.41,0.69,-6.72,111.6,118.9,-7.3,99.8,0.312,0.38,0.564,,0.521,13.1,24.5,0.24100000000000002,,0.56,12.3,74.0,0.231,,Little Caesars Arena,534926,18537
29.0,Houston Rockets,22.5,13.0,44.0,16,41,-7.89,0.33,-7.57,110.3,118.2,-7.9,99.4,0.29,0.377,0.5529999999999999,,0.514,14.6,29.8,0.22,,0.5579999999999999,11.9,75.8,0.215,,Toyota Center,454721,16240
30.0,San Antonio Spurs,24.2,14.0,44.0,13,45,-10.17,0.42,-9.75,110.5,120.5,-10.0,101.1,0.23199999999999998,0.336,0.557,,0.528,13.4,26.3,0.17300000000000001,,0.579,12.2,74.3,0.201,,AT&T Center,511676,15114
,League Average,26.2,,,29,29,0.0,0.0,0.0,114.4,114.4,,99.2,0.26899999999999996,0.387,0.58,,0.544,12.7,24.1,0.21,,0.544,12.7,75.9,0.21,,,518012,17886
