Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Jevon Carter,20221105,MIL,1,MIL,108,OKC,94,30.67,6,12,0.5,5,9,0.556,1,1,1.0,0,2,2,0,1,1,2,2,18,-2,.723,.708,.750,.083,0.0,6.8,3.4,0.0,1.7,3.2,13.9,19.6,125,101,4.7
Bobby Portis,20221105,MIL,1,MIL,108,OKC,94,29.27,5,15,0.33299999999999996,2,5,0.4,0,0,,4,17,21,2,0,0,1,0,12,+12,.400,.400,.333,.000,14.0,60.6,37.0,11.0,0.0,0.0,6.3,22.7,105,93,-0.3
Jrue Holiday,20221105,MIL,1,MIL,108,OKC,94,28.83,3,10,0.3,0,3,0.0,4,4,1.0,4,2,6,13,1,0,3,0,10,+8,.425,.300,.300,.400,14.2,7.2,10.7,65.6,1.8,0.0,20.3,21.3,124,103,6.1
MarJon Beauchamp,20221105,MIL,1,MIL,108,OKC,94,24.8,1,9,0.111,0,6,0.0,0,0,,3,2,5,0,1,0,2,6,2,+12,.111,.111,.667,.000,12.4,8.4,10.4,0.0,2.0,0.0,18.2,18.4,39,101,-21.2
Brook Lopez,20221105,MIL,1,MIL,108,OKC,94,23.7,10,16,0.625,4,9,0.444,1,1,1.0,2,1,3,1,1,1,3,3,25,+13,.760,.750,.563,.063,8.6,4.4,6.5,11.4,2.1,4.1,15.4,34.1,127,100,12.8
Serge Ibaka,20221105,MIL,1,MIL,108,OKC,94,24.08,2,5,0.4,0,2,0.0,4,4,1.0,1,5,6,2,0,2,2,2,8,+1,.592,.400,.400,.800,4.2,21.7,12.9,11.7,0.0,8.1,22.8,15.1,114,97,0.3
Jordan Nwora,20221105,MIL,1,MIL,108,OKC,94,22.3,4,10,0.4,1,5,0.2,3,3,1.0,0,3,3,1,1,0,0,0,12,-1,.530,.450,.500,.300,0.0,14.0,6.9,7.3,2.3,0.0,0.0,21.1,130,100,2.1
George Hill,20221105,MIL,1,MIL,108,OKC,94,21.18,1,2,0.5,0,0,,0,2,0.0,0,2,2,2,0,0,3,3,2,+17,.347,.500,.000,1.000,0.0,9.9,4.9,12.7,0.0,0.0,51.0,11.5,49,106,-15.6
Grayson Allen,20221105,MIL,1,MIL,108,OKC,94,20.88,6,8,0.75,5,6,0.833,2,2,1.0,0,1,1,1,2,1,2,0,19,+8,1.070,1.063,.750,.250,0.0,5.0,2.5,9.5,4.9,4.7,18.4,21.7,157,94,25.8
Wesley Matthews,20221105,MIL,1,MIL,108,OKC,94,13.25,0,3,0.0,0,2,0.0,0,0,,4,1,5,1,0,0,0,0,0,+2,.000,.000,.667,.000,30.8,7.9,19.5,9.5,0.0,0.0,0.0,9.4,89,107,-5.6
Thanasis Antetokounmpo,20221105,MIL,1,MIL,108,OKC,94,0.97,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0,0,,,,,0.0,100.0,53.4,0.0,0.0,100.0,,0.0,0,10,50.4
