Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
D'Angelo Russell,20230123,MIN,0,HOU,119,MIN,114,42.42,11,23,0.478,6,12,0.5,2,2,1.0,1,2,3,7,2,0,4,1,30,-3,.628,.609,.522,.087,2.4,5.5,3.9,27.7,2.1,0.0,14.3,26.4,121,115,5.1
Anthony Edwards,20230123,MIN,0,HOU,119,MIN,114,37.22,9,20,0.45,6,10,0.6,7,9,0.778,1,2,3,5,4,1,6,3,31,-15,.647,.600,.500,.450,2.7,6.3,4.4,21.9,4.9,2.2,20.0,32.3,113,107,8.5
Rudy Gobert,20230123,MIN,0,HOU,119,MIN,114,35.58,5,8,0.625,0,0,,5,7,0.7140000000000001,6,10,16,1,0,4,2,3,15,-4,.677,.625,.000,.875,17.2,32.9,24.5,3.9,0.0,9.3,15.3,14.7,134,107,2.1
Jaden McDaniels,20230123,MIN,0,HOU,119,MIN,114,34.62,4,11,0.364,1,6,0.16699999999999998,1,2,0.5,1,3,4,1,0,0,2,6,10,-10,.421,.409,.545,.182,3.0,10.1,6.3,3.9,0.0,0.0,14.4,16.1,83,118,-11.6
Kyle Anderson,20230123,MIN,0,HOU,119,MIN,114,12.4,1,3,0.33299999999999996,0,1,0.0,0,0,,0,0,0,1,0,0,1,5,2,-9,.333,.333,.333,.000,0.0,0.0,0.0,10.4,0.0,0.0,25.0,12.9,65,119,-18.1
Austin Rivers,20230123,MIN,0,HOU,119,MIN,114,26.73,4,8,0.5,1,4,0.25,1,2,0.5,1,5,6,3,0,0,0,2,10,+5,.563,.563,.500,.250,3.8,21.9,12.2,15.9,0.0,0.0,0.0,13.3,135,116,-0.3
Jaylen Nowell,20230123,MIN,0,HOU,119,MIN,114,18.93,3,8,0.375,1,3,0.33299999999999996,0,0,,0,3,3,0,1,0,3,1,7,+7,.438,.438,.375,.000,0.0,18.6,8.6,0.0,2.4,0.0,27.3,23.3,63,111,-12.0
Nathan Knight,20230123,MIN,0,HOU,119,MIN,114,16.27,2,5,0.4,0,2,0.0,0,0,,1,3,4,1,0,1,0,0,4,+4,.400,.400,.400,.000,6.3,21.6,13.4,8.4,0.0,5.1,0.0,12.3,105,113,-2.3
Naz Reid,20230123,MIN,0,HOU,119,MIN,114,9.13,1,2,0.5,0,1,0.0,0,0,,1,0,1,0,1,1,1,0,2,-2,.500,.500,.500,.000,11.2,0.0,6.0,0.0,5.0,9.1,33.3,13.2,80,105,-2.8
Matt Ryan,20230123,MIN,0,HOU,119,MIN,114,6.7,1,3,0.33299999999999996,1,3,0.33299999999999996,0,0,,0,1,1,0,0,0,0,1,3,+2,.500,.500,1.000,.000,0.0,17.5,8.1,0.0,0.0,0.0,0.0,18.0,107,116,-5.8
