Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Buddy Hield,20230203,IND,1,IND,107,SAC,104,36.7,8,15,0.5329999999999999,5,9,0.556,0,0,,4,6,10,6,2,0,3,2,21,+11,.700,.700,.600,.000,11.1,16.0,13.6,26.6,2.6,0.0,16.7,21.2,127,104,9.0
Andrew Nembhard,20230203,IND,1,IND,107,SAC,104,34.52,4,10,0.4,1,5,0.2,0,0,,0,1,1,5,3,0,1,2,9,+14,.450,.450,.500,.000,0.0,2.8,1.4,20.2,4.1,0.0,9.1,13.8,101,105,-1.4
Tyrese Haliburton,20230203,IND,1,IND,107,SAC,104,34.07,4,12,0.33299999999999996,2,7,0.28600000000000003,0,0,,0,4,4,9,3,0,1,0,10,+18,.417,.417,.583,.000,0.0,11.5,5.9,36.9,4.2,0.0,7.7,16.5,108,102,1.2
Myles Turner,20230203,IND,1,IND,107,SAC,104,32.7,5,13,0.385,1,4,0.25,3,4,0.75,2,11,13,1,2,4,4,4,14,-9,.474,.423,.308,.308,6.2,33.0,19.9,4.5,2.9,12.2,21.3,24.8,81,91,-3.9
Aaron Nesmith,20230203,IND,1,IND,107,SAC,104,32.68,6,13,0.462,4,7,0.5710000000000001,1,2,0.5,2,4,6,3,1,1,1,3,17,+4,.612,.615,.538,.154,6.2,12.0,9.2,14.1,1.5,3.1,6.7,19.7,121,106,4.4
Bennedict Mathurin,20230203,IND,1,IND,107,SAC,104,27.53,4,9,0.444,1,3,0.33299999999999996,5,6,0.833,1,3,4,0,1,0,3,1,14,-9,.601,.500,.333,.667,3.7,10.7,7.3,0.0,1.7,0.0,20.5,23.0,97,108,-5.6
Daniel Theis,20230203,IND,1,IND,107,SAC,104,15.3,3,4,0.75,1,2,0.5,1,2,0.5,0,4,4,1,0,0,2,2,8,+12,.820,.875,.500,.500,0.0,25.6,13.1,10.3,0.0,0.0,29.1,19.4,103,107,-1.2
T.J. McConnell,20230203,IND,1,IND,107,SAC,104,13.93,4,8,0.5,0,1,0.0,0,0,,0,3,3,3,0,0,1,2,8,-15,.500,.500,.125,.000,0.0,21.1,10.8,39.4,0.0,0.0,11.1,27.9,101,108,-6.1
Oshae Brissett,20230203,IND,1,IND,107,SAC,104,12.57,2,5,0.4,2,3,0.667,0,0,,0,2,2,0,1,0,0,2,6,-11,.600,.600,.600,.000,0.0,15.6,8.0,0.0,3.8,0.0,0.0,17.2,111,101,1.6
