Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Lauri Markkanen,20221202,UTA,1,UTA,139,IND,119,33.22,8,15,0.5329999999999999,5,9,0.556,3,4,0.75,2,11,13,3,1,0,1,1,24,+19,.716,.700,.600,.267,8.5,33.1,22.9,12.6,1.3,0.0,5.6,20.8,144,103,9.6
Jordan Clarkson,20221202,UTA,1,UTA,139,IND,119,28.95,6,12,0.5,1,3,0.33299999999999996,6,8,0.75,0,1,1,3,1,0,5,3,19,+22,.612,.542,.250,.667,0.0,3.5,2.0,13.8,1.5,0.0,24.4,27.6,99,109,-6.1
Collin Sexton,20221202,UTA,1,UTA,139,IND,119,27.72,5,10,0.5,0,0,,8,8,1.0,0,0,0,5,0,0,3,3,18,-3,.666,.500,.000,.800,0.0,0.0,0.0,23.2,0.0,0.0,18.2,23.2,126,113,-2.3
Kelly Olynyk,20221202,UTA,1,UTA,139,IND,119,21.68,2,4,0.5,1,3,0.33299999999999996,5,5,1.0,1,3,4,1,2,0,4,6,10,-5,.806,.625,.750,1.250,6.5,13.8,10.8,5.3,3.9,0.0,39.2,18.3,105,101,-2.5
Jarred Vanderbilt,20221202,UTA,1,UTA,139,IND,119,20.33,4,5,0.8,0,0,,0,0,,0,6,6,2,1,0,3,2,8,+11,.800,.800,.000,.000,0.0,29.5,17.3,12.9,2.1,0.0,37.5,15.3,98,102,1.0
Malik Beasley,20221202,UTA,1,UTA,139,IND,119,30.35,6,15,0.4,4,11,0.364,0,0,,1,4,5,1,0,0,2,1,16,+23,.533,.533,.733,.000,4.7,13.2,9.6,4.3,0.0,0.0,11.8,21.8,99,110,-4.3
Walker Kessler,20221202,UTA,1,UTA,139,IND,119,24.93,7,7,1.0,0,0,,6,8,0.75,4,7,11,1,0,2,1,4,20,+4,.951,1.000,.000,1.143,22.6,28.1,25.8,5.9,0.0,6.6,8.7,18.0,182,102,11.1
Talen Horton-Tucker,20221202,UTA,1,UTA,139,IND,119,21.8,2,6,0.33299999999999996,0,2,0.0,2,2,1.0,0,5,5,9,1,0,3,4,6,+26,.436,.333,.333,.333,0.0,22.9,13.4,47.6,2.0,0.0,30.4,17.6,107,103,0.4
Simone Fontecchio,20221202,UTA,1,UTA,139,IND,119,21.32,3,5,0.6,3,4,0.75,0,0,,0,1,1,1,0,0,2,3,9,-2,.900,.900,.800,.000,0.0,4.7,2.7,5.7,0.0,0.0,28.6,12.8,114,112,1.1
Ochai Agbaji,20221202,UTA,1,UTA,139,IND,119,3.48,2,2,1.0,1,1,1.0,0,0,,0,0,0,0,1,0,0,1,5,0,1.250,1.250,.500,.000,0.0,0.0,0.0,0.0,12.2,0.0,0.0,22.4,250,85,38.9
Nickeil Alexander-Walker,20221202,UTA,1,UTA,139,IND,119,3.48,0,1,0.0,0,1,0.0,0,0,,0,0,0,2,0,0,0,0,0,0,.000,.000,1.000,.000,0.0,0.0,0.0,59.9,0.0,0.0,0.0,11.2,105,113,0.3
Udoka Azubuike,20221202,UTA,1,UTA,139,IND,119,2.73,1,1,1.0,0,0,,2,2,1.0,0,1,1,1,0,0,0,0,4,+5,1.064,1.000,.000,2.000,0.0,36.6,21.4,61.7,0.0,0.0,0.0,26.8,227,105,39.0
