Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Devin Booker,20211027,PHO,1,SAC,110,PHO,107,36.53,12,28,0.429,2,6,0.33299999999999996,5,6,0.833,3,3,6,8,1,0,0,4,31,+4,.506,.464,.214,.214,8.6,7.9,8.2,40.1,1.3,0.0,0.0,35.1,124,113,9.5
Deandre Ayton,20211027,PHO,1,SAC,110,PHO,107,33.75,9,12,0.75,0,0,,3,4,0.75,5,16,21,1,1,1,1,1,21,+8,.763,.750,.000,.333,15.5,45.5,31.1,4.9,1.4,2.5,6.8,18.3,151,103,10.0
Mikal Bridges,20211027,PHO,1,SAC,110,PHO,107,33.43,7,12,0.583,1,4,0.25,0,0,,1,4,5,1,0,2,3,4,15,+6,.625,.625,.333,.000,3.1,11.5,7.5,4.5,0.0,5.0,20.0,18.8,101,111,-2.8
Jae Crowder,20211027,PHO,1,SAC,110,PHO,107,31.95,4,12,0.33299999999999996,2,7,0.28600000000000003,0,0,,0,2,2,2,2,1,0,3,10,+1,.417,.417,.583,.000,0.0,6.0,3.1,8.3,3.0,2.6,0.0,15.7,100,107,-1.1
Chris Paul,20211027,PHO,1,SAC,110,PHO,107,29.73,1,10,0.1,0,0,,4,4,1.0,3,3,6,8,2,0,1,2,6,-10,.255,.100,.000,.400,10.5,9.7,10.1,32.0,3.2,0.0,7.8,18.0,94,108,-3.1
Cameron Johnson,20211027,PHO,1,SAC,110,PHO,107,22.87,0,4,0.0,0,4,0.0,1,2,0.5,0,1,1,0,0,1,0,1,1,-9,.102,.000,1.000,.500,0.0,4.2,2.2,0.0,0.0,3.7,0.0,8.9,27,114,-12.8
Landry Shamet,20211027,PHO,1,SAC,110,PHO,107,18.95,1,2,0.5,1,1,1.0,1,2,0.5,0,3,3,1,0,0,0,1,4,-7,.694,.750,.500,1.000,0.0,15.2,7.9,6.4,0.0,0.0,0.0,6.4,151,114,-2.1
JaVale McGee,20211027,PHO,1,SAC,110,PHO,107,14.2,3,4,0.75,0,0,,1,2,0.5,1,10,11,0,0,1,4,0,7,-8,.717,.750,.000,.500,7.3,67.6,38.7,0.0,0.0,5.9,45.0,26.2,72,98,-4.4
Elfrid Payton,20211027,PHO,1,SAC,110,PHO,107,13.32,4,7,0.5710000000000001,0,0,,2,4,0.5,1,0,1,2,0,0,1,0,10,+2,.571,.571,.000,.571,7.8,0.0,3.8,26.1,0.0,0.0,10.2,30.7,115,118,2.3
Abdel Nader,20211027,PHO,1,SAC,110,PHO,107,5.27,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,1,0,2,-2,.500,.500,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,23.9,62,118,-14.4
Cameron Payne,20211027,PHO,1,SAC,110,PHO,107,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
