Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Jonas Valančiūnas,20211025,NOP,0,NOP,107,MIN,98,39.32,7,18,0.389,0,0,,8,8,1.0,9,14,23,3,0,2,1,5,22,-1,.511,.389,.000,.444,24.4,30.5,27.8,12.0,0.0,6.1,4.4,24.1,130,94,4.7
Devonte' Graham,20211025,NOP,0,NOP,107,MIN,98,38.52,8,16,0.5,1,6,0.16699999999999998,4,4,1.0,0,3,3,7,1,0,4,1,21,+23,.591,.531,.375,.250,0.0,6.7,3.7,30.0,1.3,0.0,18.4,23.8,114,105,2.2
Brandon Ingram,20211025,NOP,0,NOP,107,MIN,98,36.45,11,21,0.524,4,7,0.5710000000000001,1,1,1.0,1,8,9,1,0,0,4,3,27,-2,.630,.619,.333,.048,2.9,18.8,11.7,5.4,0.0,0.0,15.7,29.4,111,103,2.2
Herbert Jones,20211025,NOP,0,NOP,107,MIN,98,31.6,0,1,0.0,0,0,,0,0,,0,2,2,1,2,1,3,4,0,+1,.000,.000,.000,.000,0.0,5.4,3.0,3.9,3.1,3.8,75.0,5.3,14,99,-5.9
Nickeil Alexander-Walker,20211025,NOP,0,NOP,107,MIN,98,29.92,6,16,0.375,2,9,0.222,3,3,1.0,1,6,7,3,1,0,1,1,17,+11,.491,.438,.563,.188,3.6,17.2,11.1,16.4,1.6,0.0,5.5,25.8,114,100,3.0
Trey Murphy III,20211025,NOP,0,NOP,107,MIN,98,19.62,2,4,0.5,2,4,0.5,0,0,,1,2,3,0,1,0,0,1,6,+9,.750,.750,1.000,.000,5.4,8.7,7.3,0.0,2.5,0.0,0.0,8.6,165,101,5.8
Garrett Temple,20211025,NOP,0,NOP,107,MIN,98,16.05,2,5,0.4,1,3,0.33299999999999996,2,3,0.667,1,4,5,1,0,1,1,0,7,+1,.554,.500,.600,.600,6.6,21.4,14.8,9.1,0.0,7.5,13.7,19.2,113,98,5.0
Naji Marshall,20211025,NOP,0,NOP,107,MIN,98,10.68,1,1,1.0,0,0,,1,2,0.5,0,3,3,1,0,0,1,0,3,+7,.798,1.000,.000,2.000,0.0,24.1,13.3,13.0,0.0,0.0,34.7,11.3,107,101,1.3
Kira Lewis Jr.,20211025,NOP,0,NOP,107,MIN,98,9.48,0,3,0.0,0,1,0.0,0,0,,0,1,1,2,0,0,0,2,0,-14,.000,.000,.333,.000,0.0,9.0,5.0,26.0,0.0,0.0,0.0,13.3,45,106,-14.4
Jaxson Hayes,20211025,NOP,0,NOP,107,MIN,98,8.37,2,2,1.0,0,0,,0,2,0.0,2,2,4,0,0,1,2,3,4,+10,.694,1.000,.000,1.000,25.5,20.5,22.7,0.0,0.0,14.3,41.0,24.5,79,94,-7.2
