Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Kevin Huerter,20211206,ATL,0,ATL,121,MIN,110,38.15,4,13,0.308,2,6,0.33299999999999996,0,0,,0,5,5,4,0,1,2,2,10,+14,.385,.385,.462,.000,0.0,11.6,6.4,14.4,0.0,2.2,13.3,17.4,84,121,-9.8
Timothé Luwawu-Cabarrot,20211206,ATL,0,ATL,121,MIN,110,37.7,8,18,0.444,7,14,0.5,0,0,,1,1,2,2,1,0,0,4,23,+7,.639,.639,.778,.000,2.8,2.4,2.6,8.5,1.3,0.0,0.0,21.1,130,124,1.7
Trae Young,20211206,ATL,0,ATL,121,MIN,110,35.9,7,18,0.389,4,9,0.444,11,13,0.846,2,5,7,11,2,0,5,1,29,+7,.611,.500,.500,.722,5.9,12.4,9.5,48.0,2.8,0.0,17.4,35.4,126,115,6.4
Clint Capela,20211206,ATL,0,ATL,121,MIN,110,30.47,3,7,0.429,0,0,,3,4,0.75,5,11,16,4,1,4,1,1,9,+8,.514,.429,.000,.571,17.5,32.1,25.5,17.9,1.7,10.9,10.2,14.2,138,101,6.3
John Collins,20211206,ATL,0,ATL,121,MIN,110,28.38,5,13,0.385,3,6,0.5,0,0,,2,4,6,1,0,1,0,4,13,+9,.500,.500,.462,.000,7.5,12.5,10.2,5.4,0.0,2.9,0.0,20.3,112,120,-5.7
Danilo Gallinari,20211206,ATL,0,ATL,121,MIN,110,23.73,7,10,0.7,4,6,0.667,2,2,1.0,0,5,5,2,1,1,1,1,20,-1,.919,.900,.600,.200,0.0,18.7,10.2,15.7,2.1,3.5,8.4,22.2,157,111,16.8
Delon Wright,20211206,ATL,0,ATL,121,MIN,110,16.62,1,2,0.5,1,2,0.5,0,0,,0,3,3,6,0,0,0,1,3,+2,.750,.750,1.000,.000,0.0,16.0,8.8,46.7,0.0,0.0,0.0,5.3,209,120,6.2
Lou Williams,20211206,ATL,0,ATL,121,MIN,110,15.63,2,5,0.4,1,2,0.5,0,0,,0,0,0,0,0,0,1,3,5,+3,.500,.500,.400,.000,0.0,0.0,0.0,0.0,0.0,0.0,16.7,17.0,77,128,-16.1
Gorgui Dieng,20211206,ATL,0,ATL,121,MIN,110,13.42,3,4,0.75,3,4,0.75,0,0,,1,4,5,1,0,1,0,3,9,+6,1.125,1.125,1.000,.000,8.0,26.5,18.1,12.2,0.0,6.2,0.0,13.2,208,110,16.2
Cam Reddish,20211206,ATL,0,ATL,121,MIN,110,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
