Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
RJ Barrett,20220225,NYK,1,MIA,115,NYK,100,37.6,13,22,0.591,6,11,0.545,14,22,0.636,0,9,9,2,0,0,3,5,46,-3,.726,.727,.500,1.000,0.0,26.1,12.9,19.0,0.0,0.0,8.7,40.7,128,115,14.8
Evan Fournier,20220225,NYK,1,MIA,115,NYK,100,36.47,5,16,0.313,3,10,0.3,0,0,,1,2,3,2,0,0,1,5,13,-6,.406,.406,.625,.000,2.9,6.0,4.4,11.2,0.0,0.0,5.9,20.6,82,117,-6.4
Julius Randle,20220225,NYK,1,MIA,115,NYK,100,35.68,2,15,0.133,0,4,0.0,7,8,0.875,1,7,8,8,1,0,4,3,11,+5,.297,.133,.267,.533,3.0,21.4,12.1,39.4,1.3,0.0,17.8,27.8,73,113,-5.5
Alec Burks,20220225,NYK,1,MIA,115,NYK,100,34.25,4,6,0.667,2,4,0.5,2,2,1.0,0,8,8,2,0,0,2,3,12,-9,.872,.833,.667,.333,0.0,25.5,12.6,11.5,0.0,0.0,22.5,11.4,129,115,1.8
Mitchell Robinson,20220225,NYK,1,MIA,115,NYK,100,29.07,0,1,0.0,0,0,,0,0,,1,8,9,0,1,1,3,5,0,-8,.000,.000,.000,.000,3.7,30.0,16.7,0.0,1.6,3.2,75.0,6.1,19,108,-8.0
Jericho Sims,20220225,NYK,1,MIA,115,NYK,100,18.0,0,0,,0,0,,0,0,,1,3,4,1,1,0,0,2,0,-6,,,,,5.9,18.2,12.0,8.9,2.6,0.0,,0.0,237,110,2.0
Immanuel Quickley,20220225,NYK,1,MIA,115,NYK,100,17.38,3,7,0.429,1,5,0.2,0,0,,0,2,2,2,0,0,2,5,7,-10,.500,.500,.714,.000,0.0,12.6,6.2,25.4,0.0,0.0,22.2,22.8,81,116,-9.2
Cam Reddish,20220225,NYK,1,MIA,115,NYK,100,15.93,2,4,0.5,2,3,0.667,2,2,1.0,0,0,0,1,1,0,1,2,8,-18,.820,.750,.750,.500,0.0,0.0,0.0,12.6,3.0,0.0,17.0,16.3,131,111,7.2
Obi Toppin,20220225,NYK,1,MIA,115,NYK,100,13.25,1,3,0.33299999999999996,0,2,0.0,1,2,0.5,1,1,2,0,0,0,2,0,3,-21,.387,.333,.667,.667,8.1,8.2,8.1,0.0,0.0,0.0,34.0,19.6,60,117,-12.2
Miles McBride,20220225,NYK,1,MIA,115,NYK,100,2.13,0,1,0.0,0,1,0.0,0,0,,0,0,0,1,0,0,0,0,0,+4,.000,.000,1.000,.000,0.0,0.0,0.0,75.0,0.0,0.0,0.0,20.7,53,118,-7.8
Quentin Grimes,20220225,NYK,1,MIA,115,NYK,100,0.23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,118,-4.6
