Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Karl-Anthony Towns,20211108,MIN,0,MEM,125,MIN,118,43.35,9,20,0.45,3,9,0.33299999999999996,4,5,0.8,7,5,12,3,1,2,5,3,25,-3,.563,.525,.450,.250,16.8,13.6,15.3,12.2,1.2,3.8,18.4,27.7,109,124,1.1
Anthony Edwards,20211108,MIN,0,MEM,125,MIN,118,42.98,9,22,0.409,4,9,0.444,5,7,0.7140000000000001,2,3,5,3,3,0,4,4,27,-16,.538,.500,.409,.318,4.8,8.2,6.4,12.4,3.7,0.0,13.8,29.9,104,123,0.4
D'Angelo Russell,20211108,MIN,0,MEM,125,MIN,118,40.78,10,22,0.455,6,13,0.462,4,4,1.0,0,5,5,7,1,1,2,4,30,0,.631,.591,.591,.182,0.0,14.4,6.8,32.5,1.3,2.0,7.8,27.9,132,125,9.3
Jaden McDaniels,20211108,MIN,0,MEM,125,MIN,118,31.2,4,9,0.444,1,4,0.25,2,3,0.667,1,6,7,1,1,1,1,6,11,-10,.533,.500,.444,.333,3.3,22.6,12.4,5.0,1.7,2.7,8.8,16.0,110,121,-3.2
Patrick Beverley,20211108,MIN,0,MEM,125,MIN,118,29.48,4,7,0.5710000000000001,1,2,0.5,0,0,,1,2,3,4,1,2,1,4,9,-10,.643,.643,.286,.000,3.5,8.0,5.6,21.3,1.8,5.6,12.5,12.0,134,124,4.1
Malik Beasley,20211108,MIN,0,MEM,125,MIN,118,26.88,2,8,0.25,0,5,0.0,0,0,,0,4,4,1,0,0,0,1,4,-3,.250,.250,.625,.000,0.0,17.5,8.2,5.3,0.0,0.0,0.0,13.1,66,128,-12.1
Josh Okogie,20211108,MIN,0,MEM,125,MIN,118,18.8,1,2,0.5,0,0,,0,0,,3,0,3,2,0,0,0,2,2,+8,.500,.500,.000,.000,16.6,0.0,8.8,14.8,0.0,0.0,0.0,4.7,168,134,-0.9
Naz Reid,20211108,MIN,0,MEM,125,MIN,118,14.3,2,4,0.5,2,2,1.0,2,2,1.0,1,4,5,1,0,1,0,1,8,+15,.820,.750,.500,.500,7.3,32.9,19.3,11.0,0.0,5.8,0.0,15.1,181,119,14.3
Jarred Vanderbilt,20211108,MIN,0,MEM,125,MIN,118,11.07,0,2,0.0,0,1,0.0,2,2,1.0,0,0,0,1,0,1,0,2,2,-12,.347,.000,.500,1.000,0.0,0.0,0.0,11.7,0.0,7.5,0.0,11.5,103,129,-5.5
Taurean Prince,20211108,MIN,0,MEM,125,MIN,118,6.08,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-4,.000,.000,.000,.000,0.0,19.4,9.1,0.0,0.0,0.0,0.0,7.3,0,128,-13.7
