Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
De'Aaron Fox,20220216,SAC,0,CHI,125,SAC,118,40.92,14,26,0.5379999999999999,2,5,0.4,3,4,0.75,0,6,6,9,2,0,5,3,33,-9,.594,.577,.192,.154,0.0,16.8,8.5,39.7,2.4,0.0,15.3,36.0,110,127,-1.0
Domantas Sabonis,20220216,SAC,0,CHI,125,SAC,118,37.32,10,15,0.667,0,0,,2,2,1.0,5,7,12,8,2,0,3,2,22,-5,.693,.667,.000,.133,15.7,21.4,18.6,34.1,2.6,0.0,15.9,22.8,138,125,6.7
Justin Holiday,20220216,SAC,0,CHI,125,SAC,118,37.22,6,12,0.5,6,11,0.545,0,0,,0,2,2,1,0,2,1,4,18,+4,.750,.750,.917,.000,0.0,6.1,3.1,3.7,0.0,4.0,7.7,15.7,130,133,0.4
Harrison Barnes,20220216,SAC,0,CHI,125,SAC,118,33.75,4,7,0.5710000000000001,2,3,0.667,7,8,0.875,0,4,4,1,1,0,2,1,17,-9,.808,.714,.429,1.143,0.0,13.5,6.9,3.8,1.5,0.0,16.0,16.7,137,130,-1.5
Maurice Harkless,20220216,SAC,0,CHI,125,SAC,118,30.3,2,5,0.4,0,2,0.0,0,0,,0,2,2,0,3,0,0,3,4,+7,.400,.400,.400,.000,0.0,7.5,3.8,0.0,4.9,0.0,0.0,7.4,81,124,-6.2
Donte DiVincenzo,20220216,SAC,0,CHI,125,SAC,118,28.72,2,8,0.25,1,5,0.2,4,4,1.0,1,2,3,5,1,0,1,0,9,-14,.461,.313,.625,.500,4.1,8.0,6.0,21.1,1.7,0.0,9.3,16.9,112,131,-4.1
Chimezie Metu,20220216,SAC,0,CHI,125,SAC,118,16.3,3,6,0.5,1,4,0.25,4,4,1.0,0,3,3,0,0,1,0,1,11,-9,.709,.583,.667,.667,0.0,21.0,10.6,0.0,0.0,4.5,0.0,21.4,146,128,1.3
Richaun Holmes,20220216,SAC,0,CHI,125,SAC,118,10.25,0,3,0.0,0,0,,0,0,,1,1,2,0,0,0,0,0,0,-2,.000,.000,.000,.000,11.4,11.1,11.3,0.0,0.0,0.0,0.0,13.2,32,134,-21.5
Trey Lyles,20220216,SAC,0,CHI,125,SAC,118,5.23,2,2,1.0,0,0,,0,0,,0,2,2,0,0,0,1,0,4,+2,1.000,1.000,.000,.000,0.0,43.7,22.1,0.0,0.0,0.0,33.3,25.8,100,124,-0.8
