Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Kevin Porter Jr.,20220405,HOU,0,BRK,118,HOU,105,41.27,13,26,0.5,6,14,0.429,4,6,0.667,0,2,2,4,1,1,3,3,36,-6,.628,.615,.538,.231,0.0,5.5,2.3,18.7,1.2,2.4,9.5,30.4,123,123,7.9
Jalen Green,20220405,HOU,0,BRK,118,HOU,105,40.55,12,23,0.522,4,10,0.4,2,3,0.667,1,5,6,2,1,1,2,0,30,0,.617,.609,.435,.130,2.0,14.1,7.1,9.2,1.2,2.4,7.6,25.7,122,120,6.0
Alperen Şengün,20220405,HOU,0,BRK,118,HOU,105,36.02,5,11,0.455,0,2,0.0,4,4,1.0,7,4,11,5,0,1,1,2,14,-12,.549,.455,.182,.364,16.1,12.7,14.7,20.0,0.0,2.7,7.3,15.2,135,124,2.2
Jae'Sean Tate,20220405,HOU,0,BRK,118,HOU,105,29.42,2,10,0.2,0,2,0.0,2,3,0.667,3,6,9,3,3,0,2,3,6,-8,.265,.200,.200,.300,8.4,23.3,14.7,13.3,4.9,0.0,15.0,18.0,73,110,-6.7
Garrison Mathews,20220405,HOU,0,BRK,118,HOU,105,22.13,1,7,0.14300000000000002,0,6,0.0,2,3,0.667,1,3,4,0,0,0,0,4,4,-12,.240,.143,.857,.429,3.7,15.5,8.7,0.0,0.0,0.0,0.0,14.9,66,124,-16.7
Josh Christopher,20220405,HOU,0,BRK,118,HOU,105,30.38,2,11,0.182,1,5,0.2,0,4,0.0,2,6,8,2,2,2,3,1,5,-10,.196,.227,.455,.364,5.4,22.6,12.6,8.6,3.2,6.4,19.0,20.6,48,111,-9.7
Kenyon Martin Jr.,20220405,HOU,0,BRK,118,HOU,105,20.38,3,8,0.375,0,4,0.0,0,0,,1,2,3,0,0,0,0,4,6,-7,.375,.375,.500,.000,4.1,11.2,7.1,0.0,0.0,0.0,0.0,15.6,90,126,-13.2
Usman Garuba,20220405,HOU,0,BRK,118,HOU,105,11.98,1,2,0.5,0,0,,0,0,,3,2,5,2,0,1,0,2,2,-1,.500,.500,.000,.000,20.7,19.1,20.0,22.3,0.0,8.2,0.0,6.6,159,118,3.5
Daishen Nix,20220405,HOU,0,BRK,118,HOU,105,7.87,1,1,1.0,0,0,,0,2,0.0,0,0,0,0,1,0,0,1,2,-9,.532,1.000,.000,2.000,0.0,0.0,0.0,0.0,6.1,0.0,0.0,9.5,91,115,-2.8
