Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Jayson Tatum,20211207,BOS,0,LAL,117,BOS,102,33.97,13,22,0.591,5,7,0.7140000000000001,3,5,0.6,2,6,8,3,1,1,5,2,34,-8,.702,.705,.318,.227,6.3,21.2,13.3,24.0,1.4,2.1,17.1,38.3,108,117,11.1
Marcus Smart,20211207,BOS,0,LAL,117,BOS,102,33.47,2,7,0.28600000000000003,0,2,0.0,2,3,0.667,1,3,4,6,3,0,3,3,6,-6,.361,.286,.286,.429,3.2,10.8,6.7,26.0,4.4,0.0,26.5,15.1,80,115,-5.6
Dennis Schröder,20211207,BOS,0,LAL,117,BOS,102,31.92,1,6,0.16699999999999998,0,3,0.0,8,10,0.8,0,1,1,5,1,0,1,2,10,-8,.481,.167,.500,1.667,0.0,3.8,1.8,21.8,1.5,0.0,8.8,15.9,110,123,-4.4
Al Horford,20211207,BOS,0,LAL,117,BOS,102,30.32,3,9,0.33299999999999996,1,5,0.2,0,0,,1,7,8,2,2,0,0,0,7,+4,.389,.389,.556,.000,3.5,27.7,14.9,10.1,3.2,0.0,0.0,13.2,91,113,-1.3
Robert Williams,20211207,BOS,0,LAL,117,BOS,102,24.6,5,7,0.7140000000000001,0,0,,3,4,0.75,3,1,4,1,1,1,1,1,13,-20,.742,.714,.000,.571,13.0,4.9,9.2,7.4,2.0,3.0,10.2,17.7,140,120,3.8
Romeo Langford,20211207,BOS,0,LAL,117,BOS,102,16.52,2,3,0.667,0,0,,1,1,1.0,0,1,1,1,0,0,0,1,5,-7,.727,.667,.000,.333,0.0,7.3,3.4,9.6,0.0,0.0,0.0,9.3,150,125,-1.4
Josh Richardson,20211207,BOS,0,LAL,117,BOS,102,15.85,4,9,0.444,1,4,0.25,2,4,0.5,0,0,0,2,0,0,0,2,11,-13,.511,.500,.444,.444,0.0,0.0,0.0,25.4,0.0,0.0,0.0,30.2,106,127,-2.1
Aaron Nesmith,20211207,BOS,0,LAL,117,BOS,102,14.07,4,8,0.5,1,3,0.33299999999999996,0,0,,0,0,0,0,0,0,0,3,9,+4,.563,.563,.375,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,102,127,-6.2
Grant Williams,20211207,BOS,0,LAL,117,BOS,102,13.57,0,2,0.0,0,1,0.0,1,2,0.5,0,1,1,0,0,1,2,2,1,-21,.174,.000,.500,1.000,0.0,8.8,4.2,0.0,0.0,5.4,41.0,16.0,21,121,-19.1
Payton Pritchard,20211207,BOS,0,LAL,117,BOS,102,12.0,2,6,0.33299999999999996,2,5,0.4,0,0,,0,1,1,5,0,0,1,0,6,+1,.500,.500,.833,.000,0.0,10.0,4.7,71.4,0.0,0.0,14.3,26.0,108,125,6.6
Enes Freedom,20211207,BOS,0,LAL,117,BOS,102,8.68,0,0,,0,0,,0,0,,0,3,3,1,0,1,0,0,0,-5,,,,,0.0,41.5,19.5,15.4,0.0,8.4,,0.0,228,111,5.0
Juancho Hernangómez,20211207,BOS,0,LAL,117,BOS,102,5.05,0,3,0.0,0,3,0.0,0,0,,0,3,3,1,0,0,0,0,0,+4,.000,.000,1.000,.000,0.0,71.3,33.5,26.4,0.0,0.0,0.0,26.5,20,108,-18.0
